category,definition,terms
Geophysics,"The duration of time for a P-wave to travel one foot, typically displayed on an acoustic log. The unit of microseconds per foot (or meter) is called the slowness, which is the inverse of velocity. Transit time is measured in microseconds per foot (μs/ft) or in microseconds per meter (μs/m).",transit time
Drilling,"The vertical distance from a point in the well (usually the current or final depth) to a point at the surface, usually the elevation of the rotary kelly bushing (RKB). This is one of two primary depth measurements used by the drillers, the other being measured depth. TVD is important in determining bottomhole pressures, which are caused in part by the hydrostatic head of fluid in the wellbore. For this calculation, measured depth is irrelevant and TVD must be used. For most other operations, the driller is interested in the length of the hole or how much pipe will fit into the hole. For those measurements, measured depth, not TVD, is used. While the drilling crew should be careful to designate which measurement they are referring to, if no designation is used, they are usually referring to measured depth. Note that measured depth, due to intentional or unintentional curves in the wellbore, is always longer than true vertical depth.",TVD
Drilling Fluids,"The characteristic of a drilling fluid or a mud product pertaining to its response to prolonged heating, usually in a controlled mud composition in a rolling- or static-aging test.",temperature stability
Well Completions,"A multiphase flow regime in near-vertical pipes in which large, irregular slugs of gas move up the center of the pipe, usually carrying droplets of oil or water with them. Most of the remaining oil or water flows up along the pipe walls. The flow is relatively chaotic, producing a frothy mixture. Unlike slug flow, neither phase is continuous. The gas slugs are relatively unstable, and take on large, elongated shapes. Also known as churn flow, this flow is an intermediate flow condition between slug flow and mist flow, and occurs at relatively high gas velocity. As the gas velocity increases, it changes into annular flow.",transition flow
Drilling,To part or break the drillstring downhole due to either fatigue or excessive torque.,twist off
Production Testing,"A temperature data set taken at various depths in the wellbore. Temperature surveys are used to determine the top of cement behind the casing, fluid contacts and water influx. It is also useful to check for valve and casing leaks after the well has been temporarily shut down.",temperature survey
Well Completions,"Another term for tie-back liner, a section of liner that is run from a liner hanger back to the wellhead after the initial liner and hanger system have been installed and cemented. A tie-back liner may be required to provide the necessary pressure capacity during a flow-test period or for special treatments, and is typically not cemented in place. In some cases, a tie-back liner will be installed as a remedial treatment when the integrity of the intermediate casing string is in doubt.",tie back string
Geophysics,"An area in which water is too shallow for acquisition of marine seismic data with towed streamers, such as near the shoreline, marshes and lagoons. In some cases, source explosives can be rammed into the unconsolidated sediments of transition zone environments rather than drilling more costly shot holes. Likewise, hydrophones can be placed by ramming to couple the receiver to the Earth better and to save time and money during survey acquisition.",transition zone
Formation Evaluation,"With reference to invasion, the volume between the flushed zone and the undisturbed zone in which the mud filtrate has only partially displaced the moveable formation fluids. One common model of invasion assumes a smooth transition in resistivity and other formation properties from the flushed to the undisturbed zone. Based on this assumption, the inner and outer diameters of invasion can be determined from array resistivity logs. Another common invasion model, which does not assume a smooth transition, is the annulus.",transition zone
Drilling,Parting or breaking of the drillstring downhole due to fatigue or excessive torque.,twist off
Drilling Fluids,The shear stress measured at low shear rate after a mud has set quiescently for 10 minutes as per the standard API procedure.,ten minute gel strength
Geology," Shale Gas,Describing a relatively impermeable reservoir rock from which hydrocarbon production is difficult. Reservoirs can be tight because of smaller grains or matrix between larger grains, or they might be tight because they consist predominantly of silt- or clay-sized grains, as is the case for shale reservoirs. Stimulation of tight formations can result in increased production from formations that previously would have been abandoned or produced uneconomically.",tight
Geology,Secrecy or confidentiality of information. Operators typically try to prevent disclosure of results from exploration wells and will hold any such information tight. A tight hole is a well whose status and data are not widely disseminated by the operator.,tight
Formation Evaluation," Geophysics,A technique used in crosswell seismic and electromagnetic tomography for recording the direct signal from the source or transmitter in one well to the receiver array in another well. This technique is used for mapping the distribution of acoustic velocity and attenuation or electromagnetic resistivity between wells.",transmission tomography
Geophysics,A vertical section of seismic data consisting of numerous adjacent traces acquired sequentially.,two dimensional seismic data
Geophysics,"A group of 2D seismic lines acquired individually, as opposed to the multiple closely spaced lines acquired together that constitute 3D seismic data.",two dimensional seismic data
Drilling Fluids,The shear stress measured at low shear rate after a mud has set quiescently for 10 seconds as per the standard API procedure.,ten second gel strength
Production Facilities,An emulsion with small and closely distributed droplets. A tight emulsion can be difficult to break.,tight emulsion
Geology,"The simultaneous occurrence of strike-slip faulting and compression, or convergence, of the Earth's crust. In areas of transpression, rocks can be faulted upward to form a positive flower structure. Areas of strike-slip faulting in rifting or diverging crust are experiencing transtension, in which rocks can drop down to form a negative flower structure.",transpression
Geophysics,Seismic data or a group of seismic lines acquired individually such that there typically are significant gaps (commonly 1 km or more) between adjacent lines. A 2D survey typically contains numerous lines acquired orthogonally to the strike of geological structures (such as faults and folds) with a minimum of lines acquired parallel to geological structures to allow line-to-line tying of the seismic data and interpretation and mapping of structures.,two dimensional survey
Shale Gas," Geology,Gas produced from a relatively impermeable reservoir rock. Hydrocarbon production from tight reservoirs can be difficult without stimulation operations. Stimulation of tight formations can result in increased production from formations that previously might have been abandoned or been produced uneconomically. The term is generally used for reservoirs other than shales.",tight gas
Geology,"The simultaneous occurrence of strike-slip faulting and extension, rifting, or divergence of the Earth's crust. In areas of transtension, rocks can be faulted downward to form a negative flower structure. Areas of strike-slip faulting in converging crust are experiencing transpression, in which rocks can be faulted upwards to form a positive flower structure.",transtension
Production Logging,"A technique for interpreting the results from a spinner flowmeter using two logging runs over the zone of interest, one up and one down. If the two passes are run at the same cable speed, they will overlay below the perforations, where there is no flow. If they were not run at the same speed, the curves are shifted to overlay. Elsewhere, the separation between the curves gives the relative contribution of each zone. Viscosity changes should have a small effect, since they will have the same influence on both passes. The technique is applicable when the flow is single-phase, or else multiphase with a sufficiently homogeneous-flow regime, such as with emulsion or dispersed bubble flow.",two pass method
Drilling,"A section of a wellbore, usually openhole, where larger diameter components of the drillstring, such as drillpipe tool joints, drill collars, stabilizers, and the bit, may experience resistance when the driller attempts to pull them through these sections.",tight hole
Drilling,"A well that the operator requires be kept as secret as possible, especially the geologic information. Exploration wells, especially rank wildcats, are often designated as tight. Unfortunately, this designation is of questionable benefit in keeping the data secret.",tight hole
Geophysics,"A mode of the electromagnetic field that involves only one component of the electric field and the two components of the magnetic field perpendicular to it; e.g., the x-component of the electric field and y- and z-components of the magnetic field. The TE mode is useful in describing 2D models in which the electric field is perpendicular to the 2D plane of the model. For this case, Maxwell's equations can be reduced to a single scalar equation for the electric field component, which simplifies calculations tremendously. There is an analogous mode for the magnetic field called the TM mode. A general EM field in a region without sources can be expressed as a sum of TE and TM modes.",transverse electric mode
Well Testing,"The simultaneous flow of both oil and free gas into a wellbore. This is thought to occur through common pore spaces, where the fluids flow simultaneously. In actuality, the situation is much more complicated, and much two-phase flow occurs in a stratified manner, with lighter fluids flowing primarily through the top of a producing zone and heavier ones flowing through the bottom layers.",two phase flow
Drilling Fluids,The force per unit cross-sectional area required to pull a substance apart.,tensile strength
Geology,Oil found in relatively impermeable reservoir rock. Production of tight oil comes from very low permeability rock that must be stimulated using hydraulic fracturing to create sufficient permeability to allow the mature oil and/or natural gas liquids to flow at economic rates.,tight oil
Geophysics,"Transverse isotropy, polar anisotropy, axial anisotropy and cross anisotropy are synonymous terms referring to the particular directional character of materials in which properties have the same values in all directions parallel to planes of isotropy and different values perpendicular to or crossing the planes of isotropy; this perpendicular direction is an axis of rotational symmetry.",transverse isotropy
Production Facilities,"A vessel that separates the well fluids into gas and total liquid. A two-phase separator can be horizontal, vertical or spherical. The liquid (oil, emulsion) leaves the vessel at the bottom through a level-control or dump valve. The gas leaves the vessel at the top, passing through a mist extractor to remove the small liquid droplets in the gas.",two phase separator
Well Completions,"A type of packer that is set by applying tension to the running string. These packers are less common than compression-set packers due to the potential difficulties associated with retrieval. However, in applications where there is insufficient string weight to set a compression packer, a tension packer is a useful option.",tension set packer
Geophysics,"Abbreviation for horizontal transverse isotropy. Transverse isotropy that has a horizontal axis of rotational symmetry. In vertically fractured rocks, properties are uniform in vertical planes parallel to the fractures, but vary in the direction perpendicular to the fractures and across the fractures.",TIH
Geophysics,"A mode of the electromagnetic field that involves only one component of the magnetic field and the two components of the electric field perpendicular to it; e.g., the x-component of the magnetic field and y- and z-components of the electric field. The TM mode is useful in describing 2D models in which the magnetic field is perpendicular to the 2D plane of the model. For this case, Maxwell's equations can be reduced to a single scalar equation for the magnetic field component, which simplifies calculations tremendously.",transverse magnetic mode
Geophysics,The elapsed time for a seismic wave to travel from its source to a given reflector and return to a receiver at the Earth's surface. Minimum two-way traveltime is that of a normal-incidence wave with zero offset.,two way traveltime
Reservoir Characterization,A mathematical entity with components that change in a particular way in a transformation from one coordinate system to another. Tensor methods are used in upscaling reservoir parameters for use in reservoir simulation studies.,tensor methods
Formation Evaluation,"The time that has elapsed between the bit first penetrating a formation and a log being recorded opposite it. In logging while drilling, this time is different for each log, since it depends on the drilling rate and the distance between the bit and the particular logging sensor.",time after bit
Formation Evaluation,"The loss of coherent energy by protons in a rock while precessing about a static magnetic field during a nuclear magnetic resonance measurement. The loss of coherent energy, or relaxation, due to the free induction decay is corrected by the CPMG pulse sequence. This leaves three mechanisms for relaxation: surface relaxation, bulk relaxation and diffusion relaxation, all of which depend on formation properties. Transverse relaxation is characterized by an exponential decay of time constant T2.",transverse relaxation
Heavy Oil," Enhanced Oil Recovery,Abbreviation for thermal enhanced oil recovery, also known as thermal recovery, a general term for injection processes that introduce heat into a reservoir. Thermal recovery is used to produce viscous, thick oils with API gravities less than 20. These oils cannot flow unless they are heated and their viscosity is reduced enough to allow flow toward producing wells. During thermal recovery, crude oil undergoes physical and chemical changes because of the effects of the heat supplied. Physical properties such as viscosity, specific gravity and interfacial tension are altered. The chemical changes involve different reactions such as cracking, which is the destruction of carbon-carbon bonds to generate lower molecular weight compounds, and dehydrogenation, which is the rupture of carbon-hydrogen bonds. Thermal recovery is a major branch of enhanced oil recovery processes and can be subdivided in two types: hot fluid injection such as steam injection (steamflood or cyclic steam injection) and hot waterflooding and in-situ combustion processes.",TEOR
Geophysics,"The use of a function of time rather than frequency to express an independent variable or measurement. In contrast, in the frequency domain, variables are expressed as a function of frequency instead of time.",time domain
Geology,"A configuration of rocks suitable for containing hydrocarbons and sealed by a relatively impermeable formation through which hydrocarbons will not migrate. Traps are described as structural traps (in deformed strata such as folds and faults) or stratigraphic traps (in areas where rock types change, such as unconformities, pinch-outs and reefs). A trap is an essential component of a petroleum system.",trap
Oil and Gas Business,"An oil and gas lease that expires after a specified period of time, regardless of whether oil, gas and/or other minerals are being produced.",term lease
Geophysics,A variation of the electromagnetic method in which electric and magnetic fields are induced by transient pulses of electric current in coils or antennas instead of by continuous (sinusoidal) current. These surveys have become a popular surface EM technique used in exploration for minerals and groundwater and for environmental mapping.,time domain electromagnetic method
Enhanced Oil Recovery,"Oil in pore spaces that cannot be moved because of capillary forces. Typical trapped or residual oil saturation is in the range of 10% to 50% of the pore space, and it is higher in tighter formations where the pore spaces are small. The amount of trapped oil is a function of the displacement method and conditions, making this oil a target for enhanced oil recovery (EOR) processes. EOR methods introduce fluids that reduce viscosity, interfacial tension or mobility ratio, and thus improve flow and sweep efficiency to release the residual oil.",trapped oil
Enhanced Oil Recovery,"A graphical representation of concentrations in a system with three components. Since the sum of the component percentages is unity, any composition can be uniquely mapped to a single point within a triangular space. In many cases, a mixture of fluids with more than three components is divided into three pseudocomponents, such as light, intermediate and heavy components of a hydrocarbon phase. These diagrams are used to illustrate the phase behavior of a fluid.",ternary diagram
Formation Evaluation,"Pertaining to techniques in which the same quantity is measured at different times in the life of a reservoir. Normally the only change in a time-lapse measurement or survey will be due to changes in water or gas saturation. Thus, a comparison of two logs run at different times, such as a year apart, should simply reflect the change in fluid saturations in the pore space. The most common time-lapse logs are made with pulsed neutron capture, pulsed neutron spectroscopy and borehole gravity measurements.",time lapse
Drilling,"Also known as slip joint, a telescoping joint at the surface in floating offshore operations that permits vessel heave (vertical motion) while maintaining a riser pipe to the seafloor. As the vessel heaves, the slip joint telescopes in or out by the same amount so that the riser below the slip joint is relatively unaffected by vessel motion.",travel joint
Well Completions,"Also known as slip joint, a completion component designed to accommodate tubing movement or length changes while maintaining a hydraulic seal between the production conduit and the annulus. The size or length of the slip joint depends on the wellbore conditions and completion characteristics.",travel joint
Formation Evaluation,"The positive gravity correction that accounts for the deviation of the topography from the horizontal slab of infinite extent assumed in the Bouguer correction. Local topographic features always decrease the gravity measurement because the attractive force of the topography above the station is away from the Earth, and the effect of topography below the station is negative because of the absence of attractive material.",terrain correction
Drilling,"The set of sheaves that move up and down in the derrick. The wire rope threaded through them is threaded (or reeved) back to the stationary crown blocks located on the top of the derrick. This pulley system gives great mechanical advantage to the action of the wire rope drilling line, enabling heavy loads (drillstring, casing and liners) to be lifted out of or lowered into the wellbore.",traveling block
Geology,Pertaining to sediments or depositional environments on land or above the level of high tide.,terrestrial
Geophysics,"A migration technique for processing seismic data in areas where lateral velocity changes are not too severe, but structures are complex. Time migration has the effect of moving dipping events on a surface seismic line from apparent locations to their true locations in time. The resulting image is shown in terms of traveltime rather than depth, and must then be converted to depth with an accurate velocity model to be compared to well logs.",time migration
Production Testing,"In a subsurface sucker-rod pump, the valve that closes the barrel chamber allowing the trapped fluid to be lifted in the upstroke of the pump. This valve is similar in configuration to the standing valve.",traveling valve
Enhanced Oil Recovery,"Traditionally, the third stage of hydrocarbon production, comprising recovery methods that follow waterflooding or pressure maintenance. The principal tertiary recovery techniques used are thermal methods, gas injection and chemical flooding. The term is sometimes used as a synonym for enhanced oil recovery (EOR), but because EOR methods today may be applied at any stage of reservoir development, the term tertiary recovery is less commonly used than in the past.",tertiary recovery
Geophysics,"A horizontal display or map view of 3D seismic data having a certain arrival time, as opposed to a horizon slice that shows a particular reflection. A time slice is a quick, convenient way to evaluate changes in amplitude of seismic data.",time slice
Well Workover and Intervention,"The slip set on a snubbing unit that is located at the top of the jack assembly. Two sets of travelling slips are available, one set for heavy-pipe conditions and another for light-pipe conditions.",travelling slips
Geophysics,The elapsed time for a seismic wave to travel from its source to a given reflector and return to a receiver at the Earth's surface. Minimum two-way traveltime is that of a normal-incidence wave with zero offset.,TWT
Production Facilities,"A vessel used to separate and meter relatively small quantities of oil and gas. Test separators can be two-phase or three-phase, or horizontal, vertical or spherical. They can also be permanent or portable. Test separators sometimes are equipped with different meters to determine oil, water and gas rates, which are important to diagnose well problems, evaluate production performance of individual wells and manage reserves properly. Test separators can also be called well testers or a well checkers.",test separator
Production Logging,"A technique for determining the velocity of fluid flow in an injection well based on measuring the time a slug of radioactive tracer takes to move down the well. The analysis is usually performed as part of a tracer-loss measurement. The depth of the slug is measured by running repeated gamma ray logs at well-defined time intervals. From the differences in depth and time, the velocity can be determined.",timed slug analysis
Well Workover and Intervention,"The travelling slip set on a snubbing unit that is used when operating under light-pipe conditions. Under these conditions, the wellhead pressure is sufficient to eject the tubing string from the wellbore. Therefore, the slips are oriented in a hold-down position to act against the upward force applied to the tubing string.",travelling snubbers
Well Testing,"A method for quantifying well and reservoir parameters such as permeability, skin, fracture half-length, dual-porosity parameters, and others, by comparing the pressure change and its derivative of the acquired data to reservoir model curve families, called type curves. When a match is found between data and a type curve, the parameters that characterize the behavior of the model providing a match are thereby determined. Originally, type-curve analysis was done manually using only the pressure change. With the introduction of the pressure derivative, the analysis requires matching both pressure change and its derivative. Computer-assisted matching permits rigorous accounting for superposition in time due to flow-rate variations before and even during (in the case of drawdown analysis) the transient data acquisition, as well as providing a continuum of solutions instead of a type-curve family derived from discrete values for the governing parameters.",type curve analysis
Drilling Fluids,"One of the layers that constitute the atomic structure of the clay group of layered silicate minerals. The structure of these minerals can consist of two, three or four layers. The tetrahedral layer is a plane of silicon dioxide tetrahedra (silicon at the center and oxygen at all four corners of the tetrahedron). Another structural layer is a plane of aluminum hydroxide octahedra (aluminum at the center and hydroxides at all six corners). The tetrahedral and octahedral layers fit one on top of the other, with oxygen atoms being shared as oxide and hydroxide groups.",tetrahedral layer
Geophysics,The duration of the passage of a signal from the source through the Earth and back to the receiver. A time seismic section typically shows the two-way traveltime of the wave.,traveltime
Well Testing,"Families of the paired pressure change and its derivative computed from a model. The model is usually generated from an analytical solution of the diffusion equation with boundary conditions strategically defined to enable observation of theoretical trends in the pressure-transient response. The boundary conditions that can be defined near the well include constant or variable wellbore storage, limited entry (partial penetration), radial composite (damage skin due to permeability alteration), and a fracture extending the cylindrical wellbore to a extended plane. The borehole trajectory can be vertical, angled, or horizontal. The distant boundary conditions include a sealing or partially sealing planar boundary (fault), intersecting faults and rectangular boundaries (sealing or constant pressure). Further, the diffusion equation can be adjusted to accommodate reservoir heterogeneity in the form of dual porosity or layering. Finally, when generated with computer assistance, the type-curve family can account for superposition in time due to flow-rate variations before and even during the transient data acquisition. Originally, type-curve families were printed on specialized (usually log-log) coordinates with dimensionless parameters defining the x and y axes. Today, commercial software can generate the type-curve families on the computer screen, enabling a much more flexible and user-friendly analysis. Further, automated regression (usually least squares) permits an optimized match between the acquired data and a selected model. Type curves have greatly enriched the ability of interpreters to extract potential explanations for transient data trends that differ from the radial-flow behavior required for conventional semilog (Horner buildup) analysis.",type curves
Drilling,"On an offshore jackup drilling rig, the deck below the rotary table and rig floor where workers can access the BOP stack. This platform surrounds the base of the BOP stack and is suspended from the cantilever (where the rig floor is located) by adjustable cables. It is accessed from the main deck of the jackup barge by a semipermanent stairwell. The Texas deck is used primarily for installing the wellhead and nippling the BOP stack up and down.",Texas deck
Production Facilities,"A vessel used to treat oil-water emulsions so the oil can be accepted by the pipeline or transport. A treater can use several mechanisms. These include heat, gravity segregation, chemical additives and electric current to break emulsions. There are vertical and horizontal treaters. The main difference between them is the residence time, which is shorter in the vertical configuration compared with the horizontal one. A treater can be called a heater treater or an emulsion treater.",treater
Drilling,An abbreviation on drilling reports or mud logs signifying trip for new bit.,TFNB
Geology," Geophysics, Formation Evaluation,Abbreviation for unconfined compressive strength, or uniaxial compressive strength.",UCS
Reservoir Characterization,"A quantum-mechanical principle formulated by German physicist Werner Karl Heisenberg. It proposes that measuring either one of two related quantities, such as position and momentum, or energy and time, produces uncertainty in the measurement of the other. The error in measurement of one (for example, position) times the error in measurement of the other (for example, momentum) must be greater or equal to Planck's constant. This principle accounts for bizarre behavior of subatomic particles and implies that we can never know everything exactly.",uncertainty principle
Drilling,"To enlarge a wellbore past its original drilled size. Underreaming is sometimes done for safety or efficiency reasons. Some well planners believe it is safer to drill unknown shallow formations with a small-diameter bit, and if no gas is encountered, to then enlarge the pilot hole. An underreaming operation may also be done if a small additional amount of annular space is desired, as might be the case in running a liner if surge pressures were problematic.",underream
Well Completions,"To initiate flow from a reservoir by removing the column of kill fluid from the wellbore. Several methods of unloading the well are used, including circulation of lower density fluid, nitrogen lifting and swabbing. The method used will depend on the completion design, reservoir characteristics and local availability.",unload
Geology,"A grade scale for classifying the diameters of sediments. Particles larger than 64 mm in diameter are classified as cobbles. Smaller particles are pebbles, granules, sand and silt. Those smaller than 0.0039 mm are clay. Several other grain size scales are in use, but the Udden-Wentworth scale (commonly called the Wentworth scale) is the one that is most frequently used in geology.",Udden Wentworth scale
Geology," Geophysics, Formation Evaluation,A measure of a material’s strength. The unconfined compressive strength (UCS) is the maximum axial compressive stress that a right-cylindrical sample of material can withstand under unconfined conditions—the confining stress is zero. It is also known as the uniaxial compressive strength of a material because the application of compressive stress is only along one axis—the longitudinal axis—of the sample.",unconfined compressive strength
Drilling Fluids,"A solution that could contain more solute than is presently dissolved in it. In brines, an undersaturated solution will not form crystals as easily as if it were saturated or supersaturated. In saltwater muds, an under-saturated fluid is used to allow salt to leach into the mud, keeping the hole from closing in on the drilling assembly. For moisture in air, a relative humidity of less than 100% is under-saturated.",undersaturated fluid
Well Workover and Intervention,"Another term for circulation valve, a downhole device that enables circulation through the tubing string and associated annulus. As a completion accessory, a circulation valve is included to circulate fluid for well kill or kickoff. Circulation valves typically are operated by slickline tools and are generally capable of several opening and closing cycles before requiring service.",unloading valve
Production Facilities,Abbreviation for ultralarge crude carrier.,ULCC
Geology,"A geological surface separating older from younger rocks and representing a gap in the geologic record. Such a surface might result from a hiatus in deposition of sediments, possibly in combination with erosion, or deformation such as faulting. An angular unconformity separates younger strata from eroded, dipping older strata. A disconformity represents a time of nondeposition, possibly combined with erosion, and can be difficult to distinguish within a series of parallel strata. A nonconformity separates overlying strata from eroded, older igneous or metamorphic rocks. The study and interpretation of unconformities locally, regionally and globally is the basis of sequence stratigraphy.",unconformity
Geophysics,"A technique for acquisition of seismic data beneath areas that are difficult to access at the surface of the Earth, such as near rivers, drilling rigs, production platforms, environmentally sensitive areas or around seismically problematic features such as salt domes, which introduce uncertainty because of their high velocity. The sources and receivers are located on opposite sides of the feature.",undershooting
Formation Evaluation,"A system that is in a transient state at the time of a measurement. In the case of permeability measurements on core samples, two transient techniques are used. In the pressure falloff method, the sample is at atmospheric pressure, either in a chamber or under a probe. Fluid at a higher pressure is released into one end of the sample. The decay of pressure with time at that end of the sample is recorded and analyzed by techniques similar to those used for transient well tests. In the pulse-decay method, the sample is held in a chamber and connected to two reservoirs, all of which are filled with a fluid at high pressure. The pressure in one of the reservoirs is increased a small amount and then re-connected to the sample. The change in pressure with time of this sample is recorded and analyzed using flow equations.",unsteady state
Heavy Oil,"A designation for a hydrocarbon fluid with a gravity of 10° API or lower, based upon the classification of the US Department of Energy.",ultra heavy oil
Geology,A type of hydrocarbon trap whose closure is controlled by the presence of an unconformity. There is disagreement about whether unconformity traps are structural or stratigraphic traps.,unconformity trap
Production Testing,"In sucker-rod pumping, a situation that occurs when the stroke length at the downhole pump is shorter than the surface stroke length.",undertravel
Drilling Fluids,"A mud that contains no commercial weighting material. Native-solids muds are unweighted muds, containing no barite. More solids-control techniques are available for unweighted muds than for weighted muds. In fact, dilution of unweighted muds is highly economical.",unweighted mud
Drilling Fluids,Referring to any particle in the size range 2 to 44 microns.,ultrafine
Geology," Shale Gas,An umbrella term for oil and natural gas that is produced by means that do not meet the criteria for conventional production. What has qualified as unconventional at any particular time is a complex function of resource characteristics, the available exploration and production technologies, the economic environment, and the scale, frequency and duration of production from the resource. Perceptions of these factors inevitably change over time and often differ among users of the term. At present, the term is used in reference to oil and gas resources whose porosity, permeability, fluid trapping mechanism, or other characteristics differ from conventional sandstone and carbonate reservoirs. Coalbed methane, gas hydrates, shale gas, fractured reservoirs, and tight gas sands are considered unconventional resources.",unconventional resource
Formation Evaluation,The part of the formation that has not been affected by invasion.,undisturbed zone
Geology,"Located up the slope of a dipping plane or surface. In a dipping (not flat-lying) hydrocarbon reservoir that contains gas, oil and water, the gas is updip, the gas-oil contact is downdip from the gas, and the oil-water contact is still farther downdip.",updip
Production Facilities,"A supertanker with 500,000 deadweight tons of capacity or more. The term is commonly abbreviated as ULCC.",ultralarge crude carrier
Production Testing,"In sucker-rod pumping, a situation that occurs when the stroke length at the downhole pump is shorter than the surface stroke length.",under travel
Geology," Geophysics, Formation Evaluation,An undrained test is one in which the fluid in the sample is not able to flow and equilibrate to imposed pore pressure conditions; the fluid mass remains the same while the fluid volume and pressure will vary.",undrained test
Heavy Oil,"A refinery unit used to improve or upgrade heavy oil to produce higher-quality hydrocarbon liquids or upgraded synthetic crudes. The refining unit may include any combination of the following: hydrogen addition processes, carbon rejection processes or carbon concentration and removal processes.",upgrader
Formation Evaluation,"A conventional electrical log with very long electrode spacing. The ultralong-spaced electrical log (ULSEL) is a normal device with a distance between the current-emitting electrode and the measure electrode of between about 75 ft [23 m] and 1000 ft [305 m]. The long spacings are designed to locate objects within tens of feet of the borehole. These objects may be a salt dome or casing, in the case of a relief well.",ultra long spaced electrical log
Drilling,"The amount of pressure (or force per unit area) exerted on a formation exposed in a wellbore below the internal fluid pressure of that formation. If sufficient porosity and permeability exist, formation fluids enter the wellbore. The drilling rate typically increases as an underbalanced condition is approached.",underbalance
Geology," Geophysics, Formation Evaluation,A measure of a material’s strength. The uniaxial compressive strength (UCS) is the maximum axial compressive stress that a right-cylindrical sample of material can withstand before failing. It is also known as the unconfined compressive strength of a material because confining stress is set to zero.",uniaxial compressive strength
Drilling,"A part at the end of tubulars, such as drillpipe, casing or other tubing, which has extra thickness and strength to compensate for the loss of metal in the threaded ends.",upset
Enhanced Oil Recovery,"Values of interfacial tension (IFT) less than about 10-2 mN/m. Mixed surfactant systems, as used in enhanced oil recovery, adsorb at the oil/water interface and can be designed to generate an interface that is flexible and that has an ultralow IFT. Ultralow IFT implies (1) a significant increase in the capillary number for a given flow velocity and therefore that viscous forces generated during a flood can mobilize additional oil; and (2) a significant increase in the Bond number and therefore that gravitational forces (i.e., buoyancy) can mobilize additional oil. Micellar-polymer and alkaline-surfactant-polymer flooding are techniques used to achieve ultralow IFT.",ultralow interfacial tension
Drilling,"Referring to a situation when the pressure (or force per unit area) exerted on a formation exposed in a wellbore is less than the internal fluid pressure of that formation. If sufficient porosity and permeability exist, formation fluids enter the wellbore. The drilling rate typically increases as an underbalanced condition is approached.",underbalanced
Geology,"The geological principle formulated by James Hutton in 1795 and publicized by Charles Lyell in 1830 that geological processes occurring today have occurred similarly in the past, often articulated as, The present is the key to the past.",uniformitarianism
Well Completions,"Pertaining to equipment, facilities or systems located in the wellbore or production train before the surface choke or Christmas tree.",upstream
Production Logging,"A device for measuring the internal diameter of a casing, tubing or open borehole using high-frequency acoustic signals. A transducer (in transmit mode) emits a high-frequency pulse that is reflected by the pipe or borehole wall back to the transducer (in receive mode). The diameter is determined from the time of flight of this echo and the fluid acoustic velocity. The transducer is rotated to produce a cross section of the borehole size and full-coverage images of the borehole wall. The measurement has high resolution and is used to detect deformations, the buildup of scale, or metal loss due to corrosion. The amplitude of the echo from the inner casing surface provides qualitative information on the state of the surface, such as rugosity or corrosion. Casing thickness may also be measured simultaneously, either by analysis of the casing resonance signal, or by detecting separately the echoes from the inner and outer casing surfaces.",ultrasonic caliper
Drilling,"The uncontrolled flow of reservoir fluids from one reservoir into the wellbore, along the wellbore, and into another reservoir. This crossflow from one zone to another can occur when a high-pressure zone is encountered, the well flows, and the drilling crew reacts properly and closes the blowout preventers (BOPs). Pressure in the annulus then builds up to the point at which a weak zone fractures. Depending on the pressure at which the fracturing occurs, the flowing formation can continue to flow and losses continue to occur in the fractured zone. Underground blowouts are historically the most expensive problem in the drilling arena, eclipsing the costs of even surface blowouts. It may prove necessary to drill a second kill well in order to remedy an underground blowout.",underground blowout
Oil and Gas Business,The combining of multiple wells to produce from a specified reservoir.,unitization
Production Testing,The stage of downhole pumping at which the polished rod is going up and the downhole pump is pumping fluid.,upstroke
Production Testing,"Gas that is being stored in salt domes, salt layers or depleted oil and gas fields.",underground gas storage
Well Testing,Pooled production from wells or a reservoir. The proceeds of this pooled production are distributed to the participants according to an agreed-upon formula.,unitized production
Geophysics,"The use of measurements of a field at one elevation, level or surface to determine the values of the field at a higher level. The technique is most often used on potential fields, such as gravity or magnetic fields, to reduce scattered measurements to a common level for a simpler interpretation.",upward continuation
Formation Evaluation,"In the context of borehole logging, measurements of acoustic signals that are in the hundreds of kilohertz to the low-megahertz range. Such ultrasonic instruments are mostly of the pulse-echo type, and are used in the borehole televiewer, and in various cased-hole devices to determine corrosion and cement-bond quality.",ultrasonic measurement
Geology,"Pore pressure less than normal or hydrostatic pressure. Underpressure, or a zone of underpressure, is common in areas or formations that have had hydrocarbon production.",underpressure
Well Testing,A constant provided in an equation that applies only for a particular system of units. This is useful for analysts who must work in different units systems to satisfy local preferences.,units conversion factor
